PAK,Objekti,Broj spratova,Domacinstva,Pravna lica stan,Pravna lica lokal,Pravna lica,Korisnici,Liftovi,Sanducici,O,OS,R,RS,AR,ARS,PU,TR10,V,Votk,Ropt,Rino,TG,Posiljke
400106,4,10,35,3,14,17,52,0,31,363,21,9,0,0,20,0,1,0,0,0,0,0,414
400107,4,0,15,0,18,18,33,0,12,230,40,15,0,3,6,0,0,1,0,0,0,0,295
400108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
400109,6,2,118,30,44,74,192,0,72,1262,79,79,3,19,80,1,0,0,1,3,0,1,1527
400110,7,0,35,16,53,69,104,0,24,965,98,51,7,11,92,0,0,0,1,0,0,0,1225
400111,3,2,0,9,9,18,18,0,0,239,26,22,2,1,7,0,0,0,0,0,0,0,297
400112,3,0,0,0,0,0,0,0,0,8,0,1,0,0,2,0,0,0,0,0,0,0,11
400113,9,35,218,79,16,95,313,6,185,1593,54,108,4,17,101,66,0,2,2,1,10,0,1958
400114,8,74,214,10,19,29,243,5,63,1184,20,32,0,10,36,6,0,1,0,0,2,0,1291
400115,3,4,23,2,9,11,34,1,6,159,0,10,2,1,10,1,0,0,0,0,0,0,183
400116,3,3,24,0,3,3,27,1,24,123,0,6,0,1,4,0,1,0,0,0,1,0,136
400117,5,5,40,1,4,5,45,1,33,297,19,7,2,1,11,3,0,0,0,0,0,0,340
400118,4,15,75,3,11,14,89,3,54,615,6,11,0,4,14,34,1,0,5,0,1,0,691
400128,4,9,45,5,6,11,56,1,34,348,6,17,1,1,15,0,0,0,1,0,0,0,389
400129,3,12,59,3,9,12,71,2,26,341,2,10,0,1,10,0,0,0,0,0,0,0,364
400130,3,12,52,6,8,14,66,2,24,335,11,19,4,13,26,1,3,0,0,7,0,0,419
400131,3,18,93,24,4,28,121,3,66,554,15,15,0,4,12,2,0,0,1,0,0,0,603
400132,3,6,36,9,3,12,48,1,33,324,16,6,0,0,17,0,0,0,0,0,2,0,365
400133,4,8,32,2,8,10,42,1,14,264,4,6,0,5,13,0,0,0,0,0,0,0,292
400137,3,14,45,7,8,15,60,2,42,489,31,21,4,5,14,1,0,8,0,0,0,0,573
